,RM,Ano,ETANOL,GASOLINA,Relacao
108,Região Metropolitana de Maceió,2016,3.200444211994421,3.7415275840202855,0.2436533373824464
109,Região Metropolitana de Maceió,2017,3.2007738486842108,3.852436857562396,0.2855602750062995
110,Região Metropolitana de Maceió,2018,3.4684453608247297,4.5446469824789055,0.4200896312131195
111,Região Metropolitana de Maceió,2019,3.5487079303674802,4.4790354654844995,0.3593502133503229
112,Região Metropolitana de Manaus,2013,2.4395266594124587,3.005758942766126,0.32124694530042164
113,Região Metropolitana de Manaus,2014,2.556642388246341,3.1910980113637852,0.3415716610790663
114,Região Metropolitana de Manaus,2015,2.7886482710443263,3.6227340950403235,0.4060897603298365
115,Região Metropolitana de Manaus,2016,3.3415279503105406,3.842829210836352,0.2214462306356794
116,Região Metropolitana de Manaus,2017,3.3173385345997057,3.853436693548391,0.2348650651911564
117,Região Metropolitana de Manaus,2018,3.550686335403719,4.543504999999964,0.3814978151813629
118,Região Metropolitana de Manaus,2019,3.3985275895450195,4.2480806916426515,0.3438777938094564
119,Região Metropolitana de Natal,2013,2.427012563485634,2.8598466209081588,0.2547246894128919
120,Região Metropolitana de Natal,2014,2.6253711340205594,3.0128923955515927,0.21868527068991558
121,Região Metropolitana de Natal,2015,2.6879898916967297,3.32366320723137,0.3267807045672952
122,Região Metropolitana de Natal,2016,3.1862155913978043,3.8104478957915733,0.2760904433756985
123,Região Metropolitana de Natal,2017,3.2174691358024865,3.8204501492537406,0.2656898516565644
124,Região Metropolitana de Natal,2018,3.474983536909197,4.405718117408914,0.36656285117432286
125,Região Metropolitana de Natal,2019,3.609748387096732,4.474107421874951,0.3305325770120601
126,Região Metropolitana de Palmas,2013,2.242180940892657,3.0233808104886517,0.46686825686920175
127,Região Metropolitana de Palmas,2014,2.325658747300203,3.083037642045438,0.4391570489701767
128,Região Metropolitana de Palmas,2015,2.6046584269662794,3.456104868913852,0.44067343981676044
129,Região Metropolitana de Palmas,2016,3.2376553398058143,3.8035604498593987,0.25046709748266527
130,Região Metropolitana de Palmas,2017,3.3873484107579293,3.818273899033279,0.19593557945443024
131,Região Metropolitana de Palmas,2018,3.628810707456965,4.639922056384722,0.380257821821628
132,Região Metropolitana de Palmas,2019,3.665414422241525,4.5501017488076085,0.33295088424032754
133,Região Metropolitana de Porto Alegre,2013,2.382465120810643,2.786745768392756,0.24439443752716244
134,Região Metropolitana de Porto Alegre,2014,2.4027809474635995,2.8798427717557136,0.2793244723351006
135,Região Metropolitana de Porto Alegre,2015,2.572006744604316,3.2457412038060696,0.35908274116148853
136,Região Metropolitana de Porto Alegre,2016,3.413959113488791,3.7648551159618613,0.17013585463137215
137,Região Metropolitana de Porto Alegre,2017,3.523637890394834,3.747349044166207,0.13248465703146622
138,Região Metropolitana de Porto Alegre,2018,3.9205757756563044,4.4935215869311795,0.21701358753136157
139,Região Metropolitana de Porto Alegre,2019,3.981850591289281,4.418717123814417,0.1772812714002778
140,Região Metropolitana de Porto Velho,2013,2.4091382113821003,3.0308120978120705,0.35412769538092925
141,Região Metropolitana de Porto Velho,2014,2.5846287878787946,3.1810037509377325,0.31951995145808404
142,Região Metropolitana de Porto Velho,2015,2.68745321637428,3.5485761194029637,0.4326885697274865
143,Região Metropolitana de Porto Velho,2016,3.338193502824852,3.794218627450961,0.2062864538653301
144,Região Metropolitana de Porto Velho,2017,3.375500000000005,3.8324134615384375,0.2048995992755056
145,Região Metropolitana de Porto Velho,2018,3.6060502152080356,4.401229254571016,0.30665142682103946
146,Região Metropolitana de Porto Velho,2019,3.6739503649634897,4.45257801899594,0.29591852037986915
147,Região Metropolitana de Recife,2013,2.257775307003034,2.80187758363528,0.3324817360482449
148,Região Metropolitana de Recife,2014,2.361711726166612,2.880436259541995,0.3055561870262836
149,Região Metropolitana de Recife,2015,2.4353194634964197,3.3104404069767726,0.4799397157896339
150,Região Metropolitana de Recife,2016,2.943056568047338,3.631930296127581,0.3237225451137179
151,Região Metropolitana de Recife,2017,2.921480858468664,3.5555840312674545,0.3023106663390144
152,Região Metropolitana de Recife,2018,3.19369774011303,4.231549275006138,0.4383024815011796
153,Região Metropolitana de Recife,2019,3.3460771276595973,4.249876327590368,0.3694428455442429
154,Região Metropolitana de Salvador,2013,2.227572620215989,2.8893807592472043,0.4035734841338624
155,Região Metropolitana de Salvador,2014,2.3812098087483395,3.039448417132266,0.37746447017081136
