Marca_Modelo,Quantidade
FORD/COURIER L 1.6 FLEX,20966.0
I/FIAT SIENA EL 1.0 FLEX,20868.0
I/JAC J3,20758.0
MMC/PAJERO TR4 FLEX HP,20748.0
HONDA/C100 DREAM,20729.0
TOYOTA/COROLLA GLI FLEX,20725.0
FIAT/UNO SPORTING 1.4,20673.0
VW/GOL GL 1.8,20656.0
PEUGEOT/207PASSION XR,20603.0
GM/ASTRA GLS,20591.0
YAMAHA/NEO 125,20569.0
HONDA/NX 350 SAHARA,20510.0
VW/PARATI 16V,20497.0
RENAULT/CAPTUR INTEN 16A,20489.0
FORD/F1000,20433.0
I/PEUGEOT 207HB XR,20334.0
GM/MONZA SL/E EFI,20311.0
HONDA/CB600F HORNET,20262.0
I/NISSAN MARCH 10S FLEX,20240.0
VW/GOL BX,20227.0
CITROEN/C3 EXCL 14 FLEX,20184.0
TOYOTA/COROLLA XLI16VVT,20114.0
VW/POLO HL AD,20060.0
GM/MERIVA,20048.0
VW/NOVO VOYAGE 1.6,20024.0
RENAULT/LOGAN AUTH 10,19964.0
I/RENAULT KGOO EXPRESS16,19957.0
HONDA/NXR150 BROS MIX ES,19924.0
GM/CHEVROLET C10,19887.0
FIAT/PREMIO S,19770.0
CHEV/PRISMA 1.4AT LT,19738.0
GM/CHEVROLET,19583.0
FORD/BELINA,19519.0
GM/KADETT SL/E,19491.0
VW/SANTANA CL 1800 I,19483.0
GM/CHEVETTE MARAJO,19468.0
I/KIA UK2500 HD SC,19448.0
GM/S10 ADVANTAGE D,19414.0
VW/T CROSS HL TSI AE,19399.0
FIAT/IDEA ADVENTURE 1.8,19360.0
I/TOYOTA HILUX CDSRXA4FD,19307.0
I/PEUGEOT 206 SOLEIL,19144.0
HONDA/WR-V EX CVT,19091.0
CHEVROLET/ONIX 1.4AT ACT,19020.0
FORD/BELINA II,19013.0
VW/UP MOVE MA,18966.0
RENAULT/SANDERO STW 16HP,18959.0
TOYOTA/ETIOS SD XS,18853.0
