Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Modelo_A,Modelo_B
28,Nissan,390,NX 2000,2021,NX,2000
28,Nissan,390,NX 2000,2020,NX,2000
28,Nissan,390,NX 2000,2019,NX,2000
28,Nissan,390,NX 2000,2018,NX,2000
28,Nissan,390,NX 2000,2017,NX,2000
28,Nissan,2318,VERSA,2022,VERSA,
28,Nissan,2318,VERSA,2021,VERSA,
28,Nissan,2318,VERSA,2020,VERSA,
28,Nissan,2318,VERSA,2019,VERSA,
28,Nissan,2318,VERSA,2018,VERSA,
28,Nissan,2318,VERSA,2017,VERSA,
28,Nissan,728,XTERRA,2022,XTERRA,
28,Nissan,728,XTERRA,2021,XTERRA,
28,Nissan,728,XTERRA,2020,XTERRA,
28,Nissan,728,XTERRA,2019,XTERRA,
28,Nissan,728,XTERRA,2018,XTERRA,
28,Nissan,728,XTERRA,2017,XTERRA,
40,Outras,468,COROLLA,2022,COROLLA,
40,Outras,468,COROLLA,2021,COROLLA,
40,Outras,468,COROLLA,2020,COROLLA,
40,Outras,468,COROLLA,2019,COROLLA,
40,Outras,468,COROLLA,2018,COROLLA,
40,Outras,468,COROLLA,2017,COROLLA,
40,Outras,468,COROLLA,2016,COROLLA,
40,Outras,468,COROLLA,2015,COROLLA,
40,Outras,468,COROLLA,2014,COROLLA,
40,Outras,468,COROLLA,2013,COROLLA,
40,Outras,468,COROLLA,2012,COROLLA,
40,Outras,468,COROLLA,2011,COROLLA,
40,Outras,468,COROLLA,2010,COROLLA,
40,Outras,468,COROLLA,2009,COROLLA,
40,Outras,468,COROLLA,2008,COROLLA,
40,Outras,468,COROLLA,2007,COROLLA,
40,Outras,468,COROLLA,2006,COROLLA,
40,Outras,468,COROLLA,2005,COROLLA,
40,Outras,468,COROLLA,2004,COROLLA,
40,Outras,468,COROLLA,2003,COROLLA,
40,Outras,468,COROLLA,2002,COROLLA,
40,Outras,468,COROLLA,2001,COROLLA,
40,Outras,468,COROLLA,2000,COROLLA,
40,Outras,468,COROLLA,1999,COROLLA,
40,Outras,468,COROLLA,1998,COROLLA,
40,Outras,468,COROLLA,1997,COROLLA,
40,Outras,468,COROLLA,1996,COROLLA,
40,Outras,468,COROLLA,1995,COROLLA,
40,Outras,468,COROLLA,1994,COROLLA,
40,Outras,468,COROLLA,1993,COROLLA,
