RM,Ano,Produto,Valor_Venda
Região Metropolitana de Belém,2013,ALCOOL,2.4992640692640484
Região Metropolitana de Belém,2013,GASOLINA,2.8524649468892647
Região Metropolitana de Belém,2014,DIESEL,2.525483870967741
Região Metropolitana de Belém,2014,DIESEL S10,2.6523861522562533
Região Metropolitana de Belém,2014,ALCOOL,2.6537055485498167
Região Metropolitana de Belém,2014,GASOLINA,2.9712866733803436
Região Metropolitana de Belém,2015,DIESEL,2.913957055214721
Região Metropolitana de Belém,2015,DIESEL S10,3.011640877120371
Região Metropolitana de Belém,2015,ALCOOL,2.8607474226803857
Região Metropolitana de Belém,2015,GASOLINA,3.3580477129337734
Região Metropolitana de Belém,2016,DIESEL,3.114795031055907
Região Metropolitana de Belém,2016,DIESEL S10,3.2972998585572775
Região Metropolitana de Belém,2016,ALCOOL,3.5160696821515742
Região Metropolitana de Belém,2016,GASOLINA,3.8350924479166575
Região Metropolitana de Belém,2017,DIESEL,3.082741525423725
Região Metropolitana de Belém,2017,DIESEL S10,3.2823964313421166
Região Metropolitana de Belém,2017,ALCOOL,3.4883215739484186
Região Metropolitana de Belém,2017,GASOLINA,3.8058614008941936
Região Metropolitana de Belém,2018,DIESEL,3.5549000000000004
Região Metropolitana de Belém,2018,DIESEL S10,3.6346391509433733
Região Metropolitana de Belém,2018,ALCOOL,3.570358037578275
Região Metropolitana de Belém,2018,GASOLINA,4.3104752808988565
Região Metropolitana de Belém,2019,DIESEL,3.7327614213197937
Região Metropolitana de Belém,2019,DIESEL S10,3.870726371061826
Região Metropolitana de Belém,2019,ALCOOL,3.677192105263156
Região Metropolitana de Belém,2019,GASOLINA,4.3433883008356675
Região Metropolitana de Belém,2019,GNV,4.559
Região Metropolitana de Curitiba,2013,DIESEL,2.2109255381035515
Região Metropolitana de Curitiba,2013,DIESEL S10,2.362054487179456
Região Metropolitana de Curitiba,2013,ALCOOL,1.928076438230684
Região Metropolitana de Curitiba,2013,GASOLINA,2.7793969290708005
Região Metropolitana de Curitiba,2013,GNV,1.761667481662589
Região Metropolitana de Curitiba,2014,DIESEL,2.4174289651716303
Região Metropolitana de Curitiba,2014,DIESEL S10,2.558203621730371
Região Metropolitana de Curitiba,2014,ALCOOL,2.0231455815202493
Região Metropolitana de Curitiba,2014,GASOLINA,2.9028564908041674
Região Metropolitana de Curitiba,2014,GNV,1.924637735849061
Região Metropolitana de Curitiba,2015,DIESEL,2.6705043620501847
Região Metropolitana de Curitiba,2015,DIESEL S10,2.817273887434567
Região Metropolitana de Curitiba,2015,ALCOOL,2.1827072105976373
Região Metropolitana de Curitiba,2015,GASOLINA,3.1831361035832364
Região Metropolitana de Curitiba,2015,GNV,2.1643892045454454
Região Metropolitana de Curitiba,2016,DIESEL,2.8029340396445557
Região Metropolitana de Curitiba,2016,DIESEL S10,2.9247049831855665
Região Metropolitana de Curitiba,2016,ALCOOL,2.6721074728807106
Região Metropolitana de Curitiba,2016,GASOLINA,3.5488631132647086
Região Metropolitana de Curitiba,2016,GNV,2.4593294117647053
Região Metropolitana de Curitiba,2017,DIESEL,2.8480156249999844
Região Metropolitana de Curitiba,2017,DIESEL S10,3.0005093701996994
Região Metropolitana de Curitiba,2017,ALCOOL,2.7181768459435367
Região Metropolitana de Curitiba,2017,GASOLINA,3.56520420420429
Região Metropolitana de Curitiba,2017,GNV,2.5253020134228215
Região Metropolitana de Curitiba,2018,DIESEL,3.2132401365705747
Região Metropolitana de Curitiba,2018,DIESEL S10,3.3287931286549726
Região Metropolitana de Curitiba,2018,ALCOOL,2.9092702557682246
Região Metropolitana de Curitiba,2018,GASOLINA,4.168045130217678
Região Metropolitana de Curitiba,2018,GNV,2.710526881720426
Região Metropolitana de Curitiba,2019,DIESEL,3.301742090508612
Região Metropolitana de Curitiba,2019,DIESEL S10,3.4013536191793676
Região Metropolitana de Curitiba,2019,ALCOOL,2.885172929773925
Região Metropolitana de Curitiba,2019,GASOLINA,4.068974761255037
Região Metropolitana de Curitiba,2019,GNV,3.1258540540540567
Região Metropolitana de Florianópolis,2013,DIESEL,2.3698324242424404
Região Metropolitana de Florianópolis,2013,DIESEL S10,2.514532147742819
Região Metropolitana de Florianópolis,2013,ALCOOL,2.367919952774505
