Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Modelo_A,Modelo_B,Modelo_C
22,Land Rover,678,DEFENDER,2021,DEFENDER,,
23,Lexus,267,GS 300,2019,GS,300,
23,Lexus,2607,GS 350,2019,GS,350,
23,Lexus,2332,IS 250,2019,IS,250,
23,Lexus,2488,IS 300,2019,IS,300,
23,Lexus,299,LS 400,2019,LS,400,
23,Lexus,301,LS 430,2019,LS,430,
23,Lexus,925,LS 460,2019,LS,460,
23,Lexus,2746,LS 500,2019,LS,500,
23,Lexus,2641,NX 200T,2019,NX,200T,
23,Lexus,2747,NX 300,2019,NX,300,
23,Lexus,302,SC 400,2019,SC,400,
23,Lexus,791,SC 430,2019,SC,430,
23,Lexus,2781,UX 250,2019,UX,250,
106,Lifan,1100,620,2019,620,,
106,Lifan,2486,X60,2019,X60,,
24,Maserati,803,4200,2016,4200,,
24,Maserati,2529,GHIBLI,2016,GHIBLI,,
26,Mercedes-Benz,692,180 D,2022,180,D,
26,Mercedes-Benz,317,190,1993,190,,
26,Mercedes-Benz,2612,250,2022,250,,
26,Mercedes-Benz,320,300,2022,300,,
26,Mercedes-Benz,1042,450,2022,450,,
26,Mercedes-Benz,321,500,2022,500,,
26,Mercedes-Benz,2659,AMG GT,2022,AMG,GT,
26,Mercedes-Benz,2733,AMG GT ROADSTER,2022,AMG,GT,ROADSTER
26,Mercedes-Benz,2815,GLB 200,2022,GLB,200,
26,Mercedes-Benz,1095,SLS AMG,2022,SLS,AMG,
26,Mercedes-Benz,699,SPRINTER,2022,SPRINTER,,
26,Mercedes-Benz,705,V 220,2022,V,220,
56,MINI,2571,CABRIO,2020,CABRIO,,
56,MINI,2490,ONE,2020,ONE,,
27,Mitsubishi,706,AIRTREK,2022,AIRTREK,,
27,Mitsubishi,2244,ASX,2022,ASX,,
27,Mitsubishi,378,COLT,2022,COLT,,
27,Mitsubishi,379,DIAMANT,2022,DIAMANT,,
27,Mitsubishi,381,EXPO LRV,2022,EXPO,LRV,
27,Mitsubishi,382,EXPO SP VAN,2022,EXPO,SP,VAN
27,Mitsubishi,707,L200,2022,L200,,
27,Mitsubishi,1109,L200 OUTDOOR,2022,L200,OUTDOOR,
27,Mitsubishi,1110,L200 TRITON,2022,L200,TRITON,
27,Mitsubishi,384,LANCER,2022,LANCER,,
27,Mitsubishi,866,LANCER EVOLUTION,2022,LANCER,EVOLUTION,
27,Mitsubishi,2325,LANCER SPORTBACK,2022,LANCER,SPORTBACK,
27,Mitsubishi,915,OUTLANDER,2022,OUTLANDER,,
27,Mitsubishi,2827,OUTLANDER SPORT,2022,OUTLANDER,SPORT,
27,Mitsubishi,712,PAJERO,2022,PAJERO,,
27,Mitsubishi,1032,PAJERO DAKAR,2022,PAJERO,DAKAR,
27,Mitsubishi,875,PAJERO FULL,2022,PAJERO,FULL,
27,Mitsubishi,876,PAJERO SPORT,2022,PAJERO,SPORT,
27,Mitsubishi,874,PAJERO TR4,2022,PAJERO,TR4,
27,Mitsubishi,718,SPACE WAGON,2022,SPACE,WAGON,
28,Nissan,805,350Z,2022,350Z,,
28,Nissan,720,AX,2022,AX,,
28,Nissan,721,FRONTIER,2022,FRONTIER,,
28,Nissan,2696,KICKS,2017,KICKS,,
28,Nissan,723,KING CAB,2022,KING,CAB,
28,Nissan,2701,LEAF,2022,LEAF,,
28,Nissan,1001,LIVINA,2022,LIVINA,,
28,Nissan,2314,MARCH,2022,MARCH,,
28,Nissan,389,MICRA,2022,MICRA,,
28,Nissan,900,MURANO,2022,MURANO,,
28,Nissan,390,NX 2000,2022,NX,2000,
28,Nissan,726,PICK UP D21,2022,PICK,UP,D21
28,Nissan,725,PICK UP D22,2022,PICK,UP,D22
28,Nissan,392,QUEST,2022,QUEST,,
28,Nissan,393,SENTRA,2022,SENTRA,,
28,Nissan,395,SX,2022,SX,,
28,Nissan,912,TIIDA,2022,TIIDA,,
28,Nissan,2377,TIIDA SEDAN,2022,TIIDA,SEDAN,
28,Nissan,2318,VERSA,2022,VERSA,,
28,Nissan,728,XTERRA,2022,XTERRA,,
40,Outras,1117,AVALON,2022,AVALON,,
40,Outras,467,CELICA,2022,CELICA,,
40,Outras,468,COROLLA,2022,COROLLA,,
40,Outras,2823,COROLLA CROSS,2022,COROLLA,CROSS,
40,Outras,904,COROLLA FIELDER,2022,COROLLA,FIELDER,
40,Outras,469,COROLLA WAGON,2022,COROLLA,WAGON,
40,Outras,2417,ETIOS HATCH,2022,ETIOS,HATCH,
40,Outras,2418,ETIOS SEDAN,2022,ETIOS,SEDAN,
40,Outras,763,HILUX CABINE DUPLA,2022,HILUX,CABINE,DUPLA
40,Outras,764,HILUX CABINE SIMPLES,2022,HILUX,CABINE,SIMPLES
40,Outras,766,LAND CRUISER PRADO,2022,LAND,CRUISER,PRADO
