Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Versao,Versao_Cod,Combustivel_Gasolina,Combustivel_Alcool,Consumo_Cidade_Gasolina,Consumo_Cidade_Alcool,Consumo_Estrada_Gasolina,Consumo_Estrada_Alcool,Chave_A,Chave_B,Combustivel
31,Renault,910,LOGAN,2020,Logan Authentique 1.0 12V SCe (Flex),29342,Álcool,Gasolina,9.4,14,10.2,14.9,31-910-2020,31-910-29342-2020,FLEX
36,Volkswagen,481,GOLF,1996,Golf GL 1.8 MI,16384,Gasolina,N/D,9.3,N/D,16.4,N/D,36-481-1996,36-481-16384-1996,GASOLINA
36,Volkswagen,488,PASSAT VARIANT,1999,Passat Variant 1.8 Turbo 20V (Tiptronic),21304,N/D,N/D,9.3,N/D,15.9,N/D,36-488-1999,36-488-21304-1999,N/D
31,Renault,910,LOGAN,2022,Logan 1.0 Life,30765,Álcool,Gasolina,9.3,13.6,10,14.2,31-910-2022,31-910-30765-2022,FLEX
4,BMW,802,X3,2021,X3 2.0 xDrive20i X-Line,30601,Gasolina,N/D,9.3,N/D,11.5,N/D,4-802-2021,4-802-30601-2021,GASOLINA
31,Renault,910,LOGAN,2008,Logan 1.0 Life,30765,Álcool,Gasolina,9.3,13.6,10,14.2,31-910-2008,31-910-30765-2008,FLEX
31,Renault,910,LOGAN,2009,Logan 1.0 Life,30765,Álcool,Gasolina,9.3,13.6,10,14.2,31-910-2009,31-910-30765-2009,FLEX
31,Renault,910,LOGAN,2011,Logan 1.0 Life,30765,Álcool,Gasolina,9.3,13.6,10,14.2,31-910-2011,31-910-30765-2011,FLEX
7,Citroën,165,C3,2021,C3 1.2 Attraction Pure Tech,30407,Álcool,Gasolina,9.3,13.2,10.1,14.8,7-165-2021,7-165-30407-2021,FLEX
27,Mitsubishi,915,OUTLANDER,2014,Outlander 2.0 16V CVT,15515,Gasolina,N/D,9.3,N/D,10.1,N/D,27-915-2014,27-915-15515-2014,GASOLINA
40,Outras,763,HILUX CABINE DUPLA,2016,Hilux 2.8 TDI STD CD 4x4,23448,Diesel,N/D,9.3,N/D,11.5,N/D,40-763-2016,40-763-23448-2016,DIESEL
36,Volkswagen,487,PASSAT,2012,Passat 2.0 TSI DSG,12776,Gasolina,N/D,9.3,N/D,16.9,N/D,36-487-2012,36-487-12776-2012,GASOLINA
36,Volkswagen,487,PASSAT,2004,Passat 1.8 Turbo 20V (Tiptronic),21301,Gasolina,N/D,9.3,N/D,15.9,N/D,36-487-2004,36-487-21301-2004,GASOLINA
36,Volkswagen,487,PASSAT,2003,Passat 1.8 Turbo 20V (Tiptronic),21300,Gasolina,N/D,9.3,N/D,15.9,N/D,36-487-2003,36-487-21300-2003,GASOLINA
36,Volkswagen,487,PASSAT,2002,Passat 1.8 Turbo 20V (Tiptronic),21299,Gasolina,N/D,9.3,N/D,15.9,N/D,36-487-2002,36-487-21299-2002,GASOLINA
36,Volkswagen,487,PASSAT,2001,Passat 1.8 Turbo 20V (Tiptronic),21298,Gasolina,N/D,9.3,N/D,15.9,N/D,36-487-2001,36-487-21298-2001,GASOLINA
36,Volkswagen,487,PASSAT,1999,Passat 1.8 Turbo 20V (Tiptronic),21297,Gasolina,N/D,9.3,N/D,15.9,N/D,36-487-1999,36-487-21297-1999,GASOLINA
27,Mitsubishi,915,OUTLANDER,2015,Outlander 2.0 16V CVT,20710,Gasolina,N/D,9.3,N/D,10.1,N/D,27-915-2015,27-915-20710-2015,GASOLINA
27,Mitsubishi,915,OUTLANDER,2016,Outlander 2.0 16V CVT,22350,Gasolina,N/D,9.3,N/D,10.1,N/D,27-915-2016,27-915-22350-2016,GASOLINA
27,Mitsubishi,915,OUTLANDER,2017,Outlander 2.0 16V CVT,27261,Gasolina,N/D,9.3,N/D,10.1,N/D,27-915-2017,27-915-27261-2017,GASOLINA
36,Volkswagen,487,PASSAT,2005,Passat 1.8 Turbo 20V (Tiptronic),21302,Gasolina,N/D,9.3,N/D,15.9,N/D,36-487-2005,36-487-21302-2005,GASOLINA
27,Mitsubishi,915,OUTLANDER,2018,Outlander 2.0 Comfort Pack 7L CVT,27730,Gasolina,N/D,9.3,N/D,10.1,N/D,27-915-2018,27-915-27730-2018,GASOLINA
36,Volkswagen,487,PASSAT,2014,Passat 2.0 TSI DSG,15501,Gasolina,N/D,9.3,N/D,16.9,N/D,36-487-2014,36-487-15501-2014,GASOLINA
14,Fiat,2723,ARGO,2022,Argo 1.0,31197,Álcool,Gasolina,9.3,13.2,10,14.2,14-2723-2022,14-2723-31197-2022,FLEX
36,Volkswagen,488,PASSAT VARIANT,2005,Passat Variant 1.8 Turbo 20V (Tiptronic),21309,N/D,N/D,9.3,N/D,15.9,N/D,36-488-2005,36-488-21309-2005,N/D
36,Volkswagen,488,PASSAT VARIANT,2004,Passat Variant 1.8 Turbo 20V (Tiptronic),21308,N/D,N/D,9.3,N/D,15.9,N/D,36-488-2004,36-488-21308-2004,N/D
36,Volkswagen,488,PASSAT VARIANT,2003,Passat Variant 1.8 Turbo 20V (Tiptronic),21307,N/D,N/D,9.3,N/D,15.9,N/D,36-488-2003,36-488-21307-2003,N/D
36,Volkswagen,488,PASSAT VARIANT,2001,Passat Variant 1.8 Turbo 20V (Tiptronic),21305,N/D,N/D,9.3,N/D,15.9,N/D,36-488-2001,36-488-21305-2001,N/D
36,Volkswagen,487,PASSAT,2013,Passat 2.0 TSI DSG,14561,Gasolina,N/D,9.3,N/D,16.9,N/D,36-487-2013,36-487-14561-2013,GASOLINA
36,Volkswagen,488,PASSAT VARIANT,2002,Passat Variant 1.8 Turbo 20V (Tiptronic),21306,N/D,N/D,9.3,N/D,15.9,N/D,36-488-2002,36-488-21306-2002,N/D
7,Citroën,165,C3,2007,C3 1.2 Attraction Pure Tech,30407,Álcool,Gasolina,9.3,13.2,10.1,14.8,7-165-2007,7-165-30407-2007,FLEX
7,Citroën,165,C3,2005,C3 1.2 Attraction Pure Tech,30407,Álcool,Gasolina,9.3,13.2,10.1,14.8,7-165-2005,7-165-30407-2005,FLEX
14,Fiat,2723,ARGO,2018,Argo 1.0,31197,Álcool,Gasolina,9.3,13.2,10.0,14.2,14-2723-2018,14-2723-31197-2018,FLEX
28,Nissan,721,FRONTIER,2020,Frontier 2.3 CD S 4x4,30015,Diesel,N/D,9.3,N/D,10.2,N/D,28-721-2020,28-721-30015-2020,DIESEL
28,Nissan,721,FRONTIER,2021,Frontier S 4x4,30452,Diesel,N/D,9.3,N/D,10.2,N/D,28-721-2021,28-721-30452-2021,DIESEL
14,Fiat,2723,ARGO,2019,Argo 1.0,31197,Álcool,Gasolina,9.3,13.2,10.0,14.2,14-2723-2019,14-2723-31197-2019,FLEX
7,Citroën,165,C3,2015,C3 1.2 Attraction Pure Tech,30407,Álcool,Gasolina,9.3,13.2,10.1,14.8,7-165-2015,7-165-30407-2015,FLEX
14,Fiat,2723,ARGO,2020,Argo 1.0,31197,Álcool,Gasolina,9.3,13.2,10.0,14.2,14-2723-2020,14-2723-31197-2020,FLEX
7,Citroën,165,C3,2014,C3 1.2 Attraction Pure Tech,30407,Álcool,Gasolina,9.3,13.2,10.1,14.8,7-165-2014,7-165-30407-2014,FLEX
7,Citroën,165,C3,2017,C3 1.2 Attraction Pure Tech,30407,Álcool,Gasolina,9.3,13.2,10.1,14.8,7-165-2017,7-165-30407-2017,FLEX
7,Citroën,165,C3,2006,C3 1.2 Attraction Pure Tech,30407,Álcool,Gasolina,9.3,13.2,10.1,14.8,7-165-2006,7-165-30407-2006,FLEX
7,Citroën,165,C3,2008,C3 1.2 Attraction Pure Tech,30407,Álcool,Gasolina,9.3,13.2,10.1,14.8,7-165-2008,7-165-30407-2008,FLEX
7,Citroën,165,C3,2009,C3 1.2 Attraction Pure Tech,30407,Álcool,Gasolina,9.3,13.2,10.1,14.8,7-165-2009,7-165-30407-2009,FLEX
7,Citroën,165,C3,2010,C3 1.2 Attraction Pure Tech,30407,Álcool,Gasolina,9.3,13.2,10.1,14.8,7-165-2010,7-165-30407-2010,FLEX
7,Citroën,165,C3,2011,C3 1.2 Attraction Pure Tech,30407,Álcool,Gasolina,9.3,13.2,10.1,14.8,7-165-2011,7-165-30407-2011,FLEX
7,Citroën,165,C3,2013,C3 1.2 Attraction Pure Tech,30407,Álcool,Gasolina,9.3,13.2,10.1,14.8,7-165-2013,7-165-30407-2013,FLEX
7,Citroën,165,C3,2016,C3 1.2 Attraction Pure Tech,30407,Álcool,Gasolina,9.3,13.2,10.1,14.8,7-165-2016,7-165-30407-2016,FLEX
7,Citroën,165,C3,2012,C3 1.2 Attraction Pure Tech,30407,Álcool,Gasolina,9.3,13.2,10.1,14.8,7-165-2012,7-165-30407-2012,FLEX
