Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Versao,Versao_Cod,Combustivel_Gasolina,Combustivel_Alcool,Consumo_Cidade_Gasolina,Consumo_Cidade_Alcool,Consumo_Estrada_Gasolina,Consumo_Estrada_Alcool,Chave_A,Chave_B
17,Hyundai,1082,ix35,2014,ix35 2.0 GL (Aut),30878,,,,,,,17-1082-2014,17-1082-30878-2014
17,Hyundai,826,Tucson,2016,Tucson 1.6 T-GDI GLS,30788,,,,,,,17-826-2016,17-826-30788-2016
17,Hyundai,826,Tucson,2015,Tucson 1.6 T-GDI GLS,30788,,,,,,,17-826-2015,17-826-30788-2015
17,Hyundai,826,Tucson,2014,Tucson 1.6 T-GDI GLS,30788,,,,,,,17-826-2014,17-826-30788-2014
17,Hyundai,826,Tucson,2013,Tucson 1.6 T-GDI GLS,30788,,,,,,,17-826-2013,17-826-30788-2013
17,Hyundai,826,Tucson,2012,Tucson 1.6 T-GDI GLS,30788,,,,,,,17-826-2012,17-826-30788-2012
17,Hyundai,826,Tucson,2011,Tucson 1.6 T-GDI GLS,30788,,,,,,,17-826-2011,17-826-30788-2011
17,Hyundai,826,Tucson,2010,Tucson 1.6 T-GDI GLS,30788,,,,,,,17-826-2010,17-826-30788-2010
228,Jac,2780,T50,2020,T50 Plus 1.6 CVT,31030,,,,,,,228-2780-2020,228-2780-31030-2020
228,Jac,2780,T50,2019,T50 Plus 1.6 CVT,31030,,,,,,,228-2780-2019,228-2780-31030-2019
18,Jaguar,2657,XE,2019,XE 2.0 R-Dynamic S,29953,,,,,,,18-2657-2019,18-2657-29953-2019
18,Jaguar,2657,XE,2018,XE 2.0 R-Dynamic S,29953,,,,,,,18-2657-2018,18-2657-29953-2018
18,Jaguar,2657,XE,2017,XE 2.0 R-Dynamic S,29953,,,,,,,18-2657-2017,18-2657-29953-2017
18,Jaguar,2657,XE,2016,XE 2.0 R-Dynamic S,29953,,,,,,,18-2657-2016,18-2657-29953-2016
19,Jeep,2340,Compass,2020,Compass 2.0 Sport (Aut),30376,,,,,,,19-2340-2020,19-2340-30376-2020
19,Jeep,2340,Compass,2019,Compass 2.0 Sport (Aut),30376,,,,,,,19-2340-2019,19-2340-30376-2019
19,Jeep,2340,Compass,2018,Compass 2.0 Sport (Aut),30376,,,,,,,19-2340-2018,19-2340-30376-2018
19,Jeep,2340,Compass,2017,Compass 2.0 Sport (Aut),30376,,,,,,,19-2340-2017,19-2340-30376-2017
19,Jeep,2628,Renegade,2020,Renegade 1.8 (Aut),30381,,,,,,,19-2628-2020,19-2628-30381-2020
19,Jeep,2628,Renegade,2019,Renegade 1.8 (Aut),30381,,,,,,,19-2628-2019,19-2628-30381-2019
19,Jeep,2628,Renegade,2018,Renegade 1.8 (Aut),30381,,,,,,,19-2628-2018,19-2628-30381-2018
19,Jeep,2628,Renegade,2017,Renegade 1.8 (Aut),30381,,,,,,,19-2628-2017,19-2628-30381-2017
19,Jeep,2628,Renegade,2016,Renegade 1.8 (Aut),30381,,,,,,,19-2628-2016,19-2628-30381-2016
20,Kia,885,Cerato,2014,Cerato 2.0 Flex SX E497,31095,,,,,,,20-885-2014,20-885-31095-2014
20,Kia,885,Cerato,2013,Cerato 2.0 Flex SX E497,31095,,,,,,,20-885-2013,20-885-31095-2013
20,Kia,885,Cerato,2011,Cerato 2.0 Flex SX E497,31095,,,,,,,20-885-2011,20-885-31095-2011
20,Kia,885,Cerato,2010,Cerato 2.0 Flex SX E497,31095,,,,,,,20-885-2010,20-885-31095-2010
106,Lifan,2486,X60,2018,X60 1.8 16V VVT Talent,28484,,,,,,,106-2486-2018,106-2486-28484-2018
106,Lifan,2486,X60,2016,X60 1.8 16V VVT Talent,28484,,,,,,,106-2486-2016,106-2486-28484-2016
106,Lifan,2486,X60,2015,X60 1.8 16V VVT Talent,28484,,,,,,,106-2486-2015,106-2486-28484-2015
106,Lifan,2486,X60,2014,X60 1.8 16V VVT Talent,28484,,,,,,,106-2486-2014,106-2486-28484-2014
26,Mercedes-Benz,699,Sprinter,2014,Sprinter 2.2 CDI 416 Chassi Longo,30982,,,,,,,26-699-2014,26-699-30982-2014
26,Mercedes-Benz,699,Sprinter,2013,Sprinter 2.2 CDI 416 Chassi Longo,30982,,,,,,,26-699-2013,26-699-30982-2013
26,Mercedes-Benz,699,Sprinter,2012,Sprinter 2.2 CDI 416 Chassi Longo,30982,,,,,,,26-699-2012,26-699-30982-2012
26,Mercedes-Benz,699,Sprinter,2011,Sprinter 2.2 CDI 416 Chassi Longo,30982,,,,,,,26-699-2011,26-699-30982-2011
26,Mercedes-Benz,699,Sprinter,2010,Sprinter 2.2 CDI 416 Chassi Longo,30982,,,,,,,26-699-2010,26-699-30982-2010
26,Mercedes-Benz,699,Sprinter,2008,Sprinter 2.2 CDI 416 Chassi Longo,30982,,,,,,,26-699-2008,26-699-30982-2008
27,Mitsubishi,707,L200,2007,L200 GL 2.5 4X4,12576,,,,,,,27-707-2007,27-707-12576-2007
27,Mitsubishi,707,L200,2006,L200 GL 2.5 4X4,12576,,,,,,,27-707-2006,27-707-12576-2006
27,Mitsubishi,707,L200,2005,L200 GL 2.5 4X4,12576,,,,,,,27-707-2005,27-707-12576-2005
27,Mitsubishi,707,L200,2004,L200 GL 2.5 4X4,12576,,,,,,,27-707-2004,27-707-12576-2004
27,Mitsubishi,384,Lancer,2000,Lancer 2.0 16V HL-T CVT,28912,,,,,,,27-384-2000,27-384-28912-2000
27,Mitsubishi,384,Lancer,1998,Lancer 2.0 16V HL-T CVT,28912,,,,,,,27-384-1998,27-384-28912-1998
27,Mitsubishi,384,Lancer,1997,Lancer 2.0 16V HL-T CVT,28912,,,,,,,27-384-1997,27-384-28912-1997
27,Mitsubishi,384,Lancer,1996,Lancer 2.0 16V HL-T CVT,28912,,,,,,,27-384-1996,27-384-28912-1996
28,Nissan,721,Frontier,2013,Frontier S 4x4,30452,,,,,,,28-721-2013,28-721-30452-2013
28,Nissan,721,Frontier,2012,Frontier S 4x4,30452,,,,,,,28-721-2012,28-721-30452-2012
28,Nissan,721,Frontier,2011,Frontier S 4x4,30452,,,,,,,28-721-2011,28-721-30452-2011
28,Nissan,2314,March,2016,March 1.0 SV (Flex),29565,,,,,,,28-2314-2016,28-2314-29565-2016
28,Nissan,2314,March,2015,March 1.0 SV (Flex),29565,,,,,,,28-2314-2015,28-2314-29565-2015
28,Nissan,2314,March,2014,March 1.0 SV (Flex),29565,,,,,,,28-2314-2014,28-2314-29565-2014
28,Nissan,2318,Versa,2016,Versa V-Drive 1.0,30446,,,,,,,28-2318-2016,28-2318-30446-2016
28,Nissan,2318,Versa,2015,Versa V-Drive 1.0,30446,,,,,,,28-2318-2015,28-2318-30446-2015
40,Outras,467,Celica,1994,Celica GT 2.2 16V,1686,,,,,,,40-467-1994,40-467-1686-1994
40,Outras,467,Celica,1993,Celica GT 2.2 16V,1686,,,,,,,40-467-1993,40-467-1686-1993
40,Outras,473,Previa,1991,Previa LE 2.4 16V,19784,,,,,,,40-473-1991,40-473-19784-1991
29,Peugeot,948,207,2012,207 Hatch Active 1.4 (Flex),17866,,,,,,,29-948-2012,29-948-17866-2012
29,Peugeot,948,207,2011,207 Hatch Active 1.4 (Flex),17866,,,,,,,29-948-2011,29-948-17866-2011
29,Peugeot,948,207,2010,207 Hatch Active 1.4 (Flex),17866,,,,,,,29-948-2010,29-948-17866-2010
29,Peugeot,948,207,2009,207 Hatch Active 1.4 (Flex),17866,,,,,,,29-948-2009,29-948-17866-2009
31,Renault,431,Clio,2007,Clio Authentique 1.0 16V (Flex) 2p,22399,,,,,,,31-431-2007,31-431-22399-2007
31,Renault,431,Clio,2006,Clio Authentique 1.0 16V (Flex) 2p,22399,,,,,,,31-431-2006,31-431-22399-2006
31,Renault,431,Clio,2005,Clio Authentique 1.0 16V (Flex) 2p,22399,,,,,,,31-431-2005,31-431-22399-2005
31,Renault,431,Clio,2004,Clio Authentique 1.0 16V (Flex) 2p,22399,,,,,,,31-431-2004,31-431-22399-2004
31,Renault,431,Clio,2003,Clio Authentique 1.0 16V (Flex) 2p,22399,,,,,,,31-431-2003,31-431-22399-2003
31,Renault,431,Clio,2002,Clio Authentique 1.0 16V (Flex) 2p,22399,,,,,,,31-431-2002,31-431-22399-2002
31,Renault,431,Clio,2001,Clio Authentique 1.0 16V (Flex) 2p,22399,,,,,,,31-431-2001,31-431-22399-2001
31,Renault,431,Clio,2000,Clio Authentique 1.0 16V (Flex) 2p,22399,,,,,,,31-431-2000,31-431-22399-2000
31,Renault,910,Logan,2011,Logan 1.0 Life,30765,,,,,,,31-910-2011,31-910-30765-2011
31,Renault,910,Logan,2010,Logan 1.0 Life,30765,,,,,,,31-910-2010,31-910-30765-2010
31,Renault,910,Logan,2009,Logan 1.0 Life,30765,,,,,,,31-910-2009,31-910-30765-2009
31,Renault,910,Logan,2008,Logan 1.0 Life,30765,,,,,,,31-910-2008,31-910-30765-2008
31,Renault,739,Master,2008,Master 2.3 L1H1 Chassi Cabine,30771,,,,,,,31-739-2008,31-739-30771-2008
