Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Versao,Versao_Cod,Combustivel_Gasolina,Combustivel_Alcool,Consumo_Cidade_Gasolina,Consumo_Cidade_Alcool,Consumo_Estrada_Gasolina,Consumo_Estrada_Alcool,Chave_A,Chave_B
36,Volkswagen,480,GOL,2010,Gol 1.0 MPI City (Flex),25342,,,,,,,36-480-2010,36-480-25342-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 MPI City (Flex),25342,,,,,,,36-480-2009,36-480-25342-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 MPI City (Flex),25342,,,,,,,36-480-1997,36-480-25342-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 MPI City (Flex),25342,,,,,,,36-480-1996,36-480-25342-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 MPI City (Flex),25342,,,,,,,36-480-1995,36-480-25342-1995
36,Volkswagen,480,GOL,2010,Gol 1.6 MSI Trendline (Flex),25310,,,,,,,36-480-2010,36-480-25310-2010
36,Volkswagen,480,GOL,2009,Gol 1.6 MSI Trendline (Flex),25310,,,,,,,36-480-2009,36-480-25310-2009
36,Volkswagen,480,GOL,1997,Gol 1.6 MSI Trendline (Flex),25310,,,,,,,36-480-1997,36-480-25310-1997
36,Volkswagen,480,GOL,1996,Gol 1.6 MSI Trendline (Flex),25310,,,,,,,36-480-1996,36-480-25310-1996
36,Volkswagen,480,GOL,1995,Gol 1.6 MSI Trendline (Flex),25310,,,,,,,36-480-1995,36-480-25310-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 MPI Track (Flex),26895,,,,,,,36-480-2010,36-480-26895-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 MPI Track (Flex),26895,,,,,,,36-480-2009,36-480-26895-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 MPI Track (Flex),26895,,,,,,,36-480-1997,36-480-26895-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 MPI Track (Flex),26895,,,,,,,36-480-1996,36-480-26895-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 MPI Track (Flex),26895,,,,,,,36-480-1995,36-480-26895-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 MPI Comfortline (Flex),25304,,,,,,,36-480-2010,36-480-25304-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 MPI Comfortline (Flex),25304,,,,,,,36-480-2009,36-480-25304-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 MPI Comfortline (Flex),25304,,,,,,,36-480-1997,36-480-25304-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 MPI Comfortline (Flex),25304,,,,,,,36-480-1996,36-480-25304-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 MPI Comfortline (Flex),25304,,,,,,,36-480-1995,36-480-25304-1995
36,Volkswagen,480,GOL,2010,Gol 1.6 MSI Comfortline (Flex),25308,,,,,,,36-480-2010,36-480-25308-2010
36,Volkswagen,480,GOL,2009,Gol 1.6 MSI Comfortline (Flex),25308,,,,,,,36-480-2009,36-480-25308-2009
36,Volkswagen,480,GOL,1997,Gol 1.6 MSI Comfortline (Flex),25308,,,,,,,36-480-1997,36-480-25308-1997
36,Volkswagen,480,GOL,1996,Gol 1.6 MSI Comfortline (Flex),25308,,,,,,,36-480-1996,36-480-25308-1996
36,Volkswagen,480,GOL,1995,Gol 1.6 MSI Comfortline (Flex),25308,,,,,,,36-480-1995,36-480-25308-1995
36,Volkswagen,480,GOL,2010,Gol 1.6 MSI Comfortline I-Motion (Flex),25306,,,,,,,36-480-2010,36-480-25306-2010
36,Volkswagen,480,GOL,2009,Gol 1.6 MSI Comfortline I-Motion (Flex),25306,,,,,,,36-480-2009,36-480-25306-2009
36,Volkswagen,480,GOL,1997,Gol 1.6 MSI Comfortline I-Motion (Flex),25306,,,,,,,36-480-1997,36-480-25306-1997
36,Volkswagen,480,GOL,1996,Gol 1.6 MSI Comfortline I-Motion (Flex),25306,,,,,,,36-480-1996,36-480-25306-1996
36,Volkswagen,480,GOL,1995,Gol 1.6 MSI Comfortline I-Motion (Flex),25306,,,,,,,36-480-1995,36-480-25306-1995
36,Volkswagen,480,GOL,2010,Gol 1.6 MSI Highline (Flex),25309,,,,,,,36-480-2010,36-480-25309-2010
36,Volkswagen,480,GOL,2009,Gol 1.6 MSI Highline (Flex),25309,,,,,,,36-480-2009,36-480-25309-2009
36,Volkswagen,480,GOL,1997,Gol 1.6 MSI Highline (Flex),25309,,,,,,,36-480-1997,36-480-25309-1997
36,Volkswagen,480,GOL,1996,Gol 1.6 MSI Highline (Flex),25309,,,,,,,36-480-1996,36-480-25309-1996
36,Volkswagen,480,GOL,1995,Gol 1.6 MSI Highline (Flex),25309,,,,,,,36-480-1995,36-480-25309-1995
36,Volkswagen,480,GOL,2010,Gol 1.6 MSI Highline I-Motion (Flex),25307,,,,,,,36-480-2010,36-480-25307-2010
36,Volkswagen,480,GOL,2009,Gol 1.6 MSI Highline I-Motion (Flex),25307,,,,,,,36-480-2009,36-480-25307-2009
36,Volkswagen,480,GOL,1997,Gol 1.6 MSI Highline I-Motion (Flex),25307,,,,,,,36-480-1997,36-480-25307-1997
36,Volkswagen,480,GOL,1996,Gol 1.6 MSI Highline I-Motion (Flex),25307,,,,,,,36-480-1996,36-480-25307-1996
36,Volkswagen,480,GOL,1995,Gol 1.6 MSI Highline I-Motion (Flex),25307,,,,,,,36-480-1995,36-480-25307-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 TEC Special (Flex) 2p,22285,,,,,,,36-480-2010,36-480-22285-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 TEC Special (Flex) 2p,22285,,,,,,,36-480-2009,36-480-22285-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 TEC Special (Flex) 2p,22285,,,,,,,36-480-1997,36-480-22285-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 TEC Special (Flex) 2p,22285,,,,,,,36-480-1996,36-480-22285-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 TEC Special (Flex) 2p,22285,,,,,,,36-480-1995,36-480-22285-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 TEC Special (Flex) 4p,22284,,,,,,,36-480-2010,36-480-22284-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 TEC Special (Flex) 4p,22284,,,,,,,36-480-2009,36-480-22284-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 TEC Special (Flex) 4p,22284,,,,,,,36-480-1997,36-480-22284-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 TEC Special (Flex) 4p,22284,,,,,,,36-480-1996,36-480-22284-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 TEC Special (Flex) 4p,22284,,,,,,,36-480-1995,36-480-22284-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 TEC Trendline (Flex) 2p,22287,,,,,,,36-480-2010,36-480-22287-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 TEC Trendline (Flex) 2p,22287,,,,,,,36-480-2009,36-480-22287-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 TEC Trendline (Flex) 2p,22287,,,,,,,36-480-1997,36-480-22287-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 TEC Trendline (Flex) 2p,22287,,,,,,,36-480-1996,36-480-22287-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 TEC Trendline (Flex) 2p,22287,,,,,,,36-480-1995,36-480-22287-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 TEC City (Flex) 2p,22560,,,,,,,36-480-2010,36-480-22560-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 TEC City (Flex) 2p,22560,,,,,,,36-480-2009,36-480-22560-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 TEC City (Flex) 2p,22560,,,,,,,36-480-1997,36-480-22560-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 TEC City (Flex) 2p,22560,,,,,,,36-480-1996,36-480-22560-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 TEC City (Flex) 2p,22560,,,,,,,36-480-1995,36-480-22560-1995
36,Volkswagen,480,GOL,2010,Gol 1.6 VHT Trendline (Flex) 4p,22567,,,,,,,36-480-2010,36-480-22567-2010
