RM,Ano,Combustivel,Quantidade
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2009,Volume_Venda_Alcool,335770301.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2009,Volume_Venda_Diesel,658418836.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2009,Volume_Venda_Gasolina,935087550.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2010,Volume_Venda_Alcool,229664696.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2010,Volume_Venda_Diesel,723864343.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2010,Volume_Venda_Gasolina,1119040220.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2011,Volume_Venda_Alcool,156378226.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2011,Volume_Venda_Diesel,755437729.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2011,Volume_Venda_Gasolina,1251558022.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2012,Volume_Venda_Alcool,129822775.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2012,Volume_Venda_Diesel,775386291.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2012,Volume_Venda_Gasolina,1371477203.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2013,Volume_Venda_Alcool,175280480.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2013,Volume_Venda_Diesel,809486439.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2013,Volume_Venda_Gasolina,1434817102.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2014,Volume_Venda_Alcool,175922983.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2014,Volume_Venda_Diesel,839735563.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2014,Volume_Venda_Gasolina,1521069703.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2014,Volume_Venda_GNV,2469235.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2015,Volume_Venda_Alcool,237526543.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2015,Volume_Venda_Diesel,803139886.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2015,Volume_Venda_Gasolina,1470565168.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2015,Volume_Venda_GNV,2286795.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2016,Volume_Venda_Alcool,145908757.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2016,Volume_Venda_Diesel,770325442.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2016,Volume_Venda_Gasolina,1540808821.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2016,Volume_Venda_GNV,2149267.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2017,Volume_Venda_Alcool,245295095.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2017,Volume_Venda_Diesel,779459773.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2017,Volume_Venda_Gasolina,1565017423.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2017,Volume_Venda_GNV,1610216.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2018,Volume_Venda_Alcool,418136352.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2018,Volume_Venda_Diesel,805613541.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2018,Volume_Venda_Gasolina,1336317557.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2018,Volume_Venda_GNV,2031413.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2019,Volume_Venda_Alcool,485578448.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2019,Volume_Venda_Diesel,822822275.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2019,Volume_Venda_Gasolina,1342292877.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2019,Volume_Venda_GNV,2240229.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2020,Volume_Venda_GNV,1538442.0
Região Metropolitana da Capital,2000,Volume_Venda_Alcool,1547241.0
Região Metropolitana da Capital,2000,Volume_Venda_Diesel,111319137.0
Região Metropolitana da Capital,2000,Volume_Venda_Gasolina,40211129.0
Região Metropolitana da Capital,2001,Volume_Venda_Alcool,1313500.0
Região Metropolitana da Capital,2001,Volume_Venda_Diesel,58211067.0
Região Metropolitana da Capital,2001,Volume_Venda_Gasolina,35576113.0
Região Metropolitana da Capital,2002,Volume_Venda_Alcool,1027300.0
Região Metropolitana da Capital,2002,Volume_Venda_Diesel,44298502.0
Região Metropolitana da Capital,2002,Volume_Venda_Gasolina,44672546.0
Região Metropolitana da Capital,2003,Volume_Venda_Alcool,568000.0
Região Metropolitana da Capital,2003,Volume_Venda_Diesel,33837950.0
Região Metropolitana da Capital,2003,Volume_Venda_Gasolina,43558349.0
Região Metropolitana da Capital,2004,Volume_Venda_Alcool,578100.0
Região Metropolitana da Capital,2004,Volume_Venda_Diesel,37736900.0
Região Metropolitana da Capital,2004,Volume_Venda_Gasolina,43367234.0
Região Metropolitana da Capital,2005,Volume_Venda_Alcool,736200.0
Região Metropolitana da Capital,2005,Volume_Venda_Diesel,36502132.0
Região Metropolitana da Capital,2005,Volume_Venda_Gasolina,39790650.0
Região Metropolitana da Capital,2006,Volume_Venda_Alcool,1144000.0
Região Metropolitana da Capital,2006,Volume_Venda_Diesel,38452407.89996513
Região Metropolitana da Capital,2006,Volume_Venda_Gasolina,44478950.0
Região Metropolitana da Capital,2007,Volume_Venda_Alcool,2176270.0
Região Metropolitana da Capital,2007,Volume_Venda_Diesel,37818645.0
Região Metropolitana da Capital,2007,Volume_Venda_Gasolina,47031884.0
Região Metropolitana da Capital,2008,Volume_Venda_Alcool,2850817.0
Região Metropolitana da Capital,2008,Volume_Venda_Diesel,47496680.0
Região Metropolitana da Capital,2008,Volume_Venda_Gasolina,56229191.0
Região Metropolitana da Capital,2009,Volume_Venda_Alcool,2848072.0
Região Metropolitana da Capital,2009,Volume_Venda_Diesel,47955218.0
Região Metropolitana da Capital,2009,Volume_Venda_Gasolina,67220000.0
Região Metropolitana da Capital,2010,Volume_Venda_Alcool,2705315.0
Região Metropolitana da Capital,2010,Volume_Venda_Diesel,113877173.0
Região Metropolitana da Capital,2010,Volume_Venda_Gasolina,76714400.0
Região Metropolitana da Capital,2011,Volume_Venda_Alcool,2481818.0
Região Metropolitana da Capital,2011,Volume_Venda_Diesel,50286881.0
Região Metropolitana da Capital,2011,Volume_Venda_Gasolina,78419250.0
Região Metropolitana da Capital,2012,Volume_Venda_Alcool,1852800.0
Região Metropolitana da Capital,2012,Volume_Venda_Diesel,56721472.0
Região Metropolitana da Capital,2012,Volume_Venda_Gasolina,87413000.0
Região Metropolitana da Capital,2013,Volume_Venda_Alcool,1735800.0
Região Metropolitana da Capital,2013,Volume_Venda_Diesel,86241900.0
Região Metropolitana da Capital,2013,Volume_Venda_Gasolina,95946300.0
Região Metropolitana da Capital,2014,Volume_Venda_Alcool,1871604.0
Região Metropolitana da Capital,2014,Volume_Venda_Diesel,108833900.0
Região Metropolitana da Capital,2014,Volume_Venda_Gasolina,107785081.0
Região Metropolitana da Capital,2015,Volume_Venda_Alcool,2795400.0
Região Metropolitana da Capital,2015,Volume_Venda_Diesel,103294273.0
Região Metropolitana da Capital,2015,Volume_Venda_Gasolina,108687243.0
Região Metropolitana da Capital,2016,Volume_Venda_Alcool,1378400.0
Região Metropolitana da Capital,2016,Volume_Venda_Diesel,88888858.0
Região Metropolitana da Capital,2016,Volume_Venda_Gasolina,114723602.0
Região Metropolitana da Capital,2017,Volume_Venda_Alcool,959600.0
Região Metropolitana da Capital,2017,Volume_Venda_Diesel,90265008.1246537
Região Metropolitana da Capital,2017,Volume_Venda_Gasolina,122533464.0
Região Metropolitana da Capital,2018,Volume_Venda_Alcool,1900000.0
Região Metropolitana da Capital,2018,Volume_Venda_Diesel,156056154.0
Região Metropolitana da Capital,2018,Volume_Venda_Gasolina,125909984.0
Região Metropolitana da Capital,2019,Volume_Venda_Alcool,1552200.0
Região Metropolitana da Capital,2019,Volume_Venda_Diesel,384611902.0
Região Metropolitana da Capital,2019,Volume_Venda_Gasolina,138836130.0
Região Metropolitana da Grande São Luís,2000,Volume_Venda_Alcool,7977636.0
Região Metropolitana da Grande São Luís,2000,Volume_Venda_Diesel,237404168.0
Região Metropolitana da Grande São Luís,2000,Volume_Venda_Gasolina,106805035.0
Região Metropolitana da Grande São Luís,2001,Volume_Venda_Alcool,5061039.0
Região Metropolitana da Grande São Luís,2001,Volume_Venda_Diesel,231821175.0
Região Metropolitana da Grande São Luís,2001,Volume_Venda_Gasolina,107249597.0
Região Metropolitana da Grande São Luís,2002,Volume_Venda_Alcool,4651578.0
Região Metropolitana da Grande São Luís,2002,Volume_Venda_Diesel,183782805.0
Região Metropolitana da Grande São Luís,2002,Volume_Venda_Gasolina,115816242.0
Região Metropolitana da Grande São Luís,2003,Volume_Venda_Alcool,3553007.0
Região Metropolitana da Grande São Luís,2003,Volume_Venda_Diesel,151006413.0
Região Metropolitana da Grande São Luís,2003,Volume_Venda_Gasolina,114857330.0
Região Metropolitana da Grande São Luís,2004,Volume_Venda_Alcool,3471425.0
Região Metropolitana da Grande São Luís,2004,Volume_Venda_Diesel,164992777.0
Região Metropolitana da Grande São Luís,2004,Volume_Venda_Gasolina,126634719.0
Região Metropolitana da Grande São Luís,2005,Volume_Venda_Alcool,5720872.0
Região Metropolitana da Grande São Luís,2005,Volume_Venda_Diesel,214857547.0
Região Metropolitana da Grande São Luís,2005,Volume_Venda_Gasolina,129072270.0
Região Metropolitana da Grande São Luís,2006,Volume_Venda_Alcool,10680219.0
Região Metropolitana da Grande São Luís,2006,Volume_Venda_Diesel,219868671.088879
Região Metropolitana da Grande São Luís,2006,Volume_Venda_Gasolina,136682637.0
Região Metropolitana da Grande São Luís,2007,Volume_Venda_Alcool,36975995.0
Região Metropolitana da Grande São Luís,2007,Volume_Venda_Diesel,278608812.0
Região Metropolitana da Grande São Luís,2007,Volume_Venda_Gasolina,135286396.0
Região Metropolitana da Grande São Luís,2008,Volume_Venda_Alcool,80637197.0
Região Metropolitana da Grande São Luís,2008,Volume_Venda_Diesel,372273063.334
Região Metropolitana da Grande São Luís,2008,Volume_Venda_Gasolina,134506449.0
Região Metropolitana da Grande São Luís,2009,Volume_Venda_Alcool,104266679.0
Região Metropolitana da Grande São Luís,2009,Volume_Venda_Diesel,333142254.0
Região Metropolitana da Grande São Luís,2009,Volume_Venda_Gasolina,134968543.0
Região Metropolitana da Grande São Luís,2010,Volume_Venda_Alcool,60722046.0
Região Metropolitana da Grande São Luís,2010,Volume_Venda_Diesel,250596583.0
