Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Modelo_A,Modelo_B
35,Toyota,2823,COROLLA CROSS,2007,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2006,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2005,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2004,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2003,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2002,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2001,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2000,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,1999,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,1998,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,1997,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,1996,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,1995,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,1994,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,1993,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,1992,COROLLA,CROSS
35,Toyota,904,COROLLA FIELDER,2022,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2021,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2020,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2019,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2018,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2017,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2016,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2015,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2014,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2013,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2012,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2011,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2010,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2009,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2008,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2007,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2006,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2005,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2004,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2003,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2002,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2001,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,2000,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,1999,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,1998,COROLLA,FIELDER
