Marca_Cod,Modelo_Cod,Ano,Chave_A
18,252,2020,18-252-2020
18,253,2020,18-253-2020
18,256,2020,18-256-2020
19,663,2021,19-663-2021
19,909,2021,19-909-2021
19,883,2021,19-883-2021
19,665,2021,19-665-2021
20,669,2022,20-669-2022
20,1124,2022,20-1124-2022
20,258,2022,20-258-2022
20,671,2022,20-671-2022
20,672,2022,20-672-2022
20,259,2022,20-259-2022
20,2654,2022,20-2654-2022
20,890,2022,20-890-2022
20,1000,2022,20-1000-2022
20,825,2022,20-825-2022
20,2356,2022,20-2356-2022
20,889,2022,20-889-2022
20,2613,2022,20-2613-2022
20,2645,2022,20-2645-2022
20,261,2022,20-261-2022
20,262,2022,20-262-2022
20,673,2022,20-673-2022
20,1033,2022,20-1033-2022
20,2769,2022,20-2769-2022
52,789,2016,52-789-2016
52,790,2016,52-790-2016
52,1066,2016,52-1066-2016
52,2598,2016,52-2598-2016
52,2465,2016,52-2465-2016
52,2799,2016,52-2799-2016
22,682,2021,22-682-2021
22,2751,2021,22-2751-2021
23,816,2019,23-816-2019
23,931,2019,23-931-2019
23,267,2019,23-267-2019
23,2607,2019,23-2607-2019
23,2332,2019,23-2332-2019
23,2488,2019,23-2488-2019
23,299,2019,23-299-2019
23,301,2019,23-301-2019
23,925,2019,23-925-2019
23,2641,2019,23-2641-2019
23,685,2019,23-685-2019
23,817,2019,23-817-2019
23,1011,2019,23-1011-2019
23,2798,2019,23-2798-2019
23,302,2019,23-302-2019
23,791,2019,23-791-2019
106,1101,2019,106-1101-2019
106,2600,2019,106-2600-2019
106,1100,2019,106-1100-2019
106,2542,2019,106-2542-2019
24,303,2016,24-303-2016
24,803,2016,24-803-2016
24,304,2016,24-304-2016
24,933,2016,24-933-2016
24,2729,2016,24-2729-2016
24,306,2016,24-306-2016
26,692,2022,26-692-2022
26,317,2022,26-317-2022
26,318,2022,26-318-2022
26,1121,2022,26-1121-2022
26,2612,2022,26-2612-2022
26,319,2022,26-319-2022
26,978,2022,26-978-2022
26,320,2022,26-320-2022
26,1042,2022,26-1042-2022
26,321,2022,26-321-2022
26,322,2022,26-322-2022
26,2659,2022,26-2659-2022
26,2733,2022,26-2733-2022
26,338,2022,26-338-2022
26,2570,2022,26-2570-2022
26,882,2022,26-882-2022
26,323,2022,26-323-2022
26,2467,2022,26-2467-2022
26,326,2022,26-326-2022
26,2468,2022,26-2468-2022
26,336,2022,26-336-2022
26,2469,2022,26-2469-2022
26,2520,2022,26-2520-2022
26,2566,2022,26-2566-2022
26,985,2022,26-985-2022
26,340,2022,26-340-2022
26,342,2022,26-342-2022
26,827,2022,26-827-2022
26,2470,2022,26-2470-2022
26,347,2022,26-347-2022
26,2471,2022,26-2471-2022
26,356,2022,26-356-2022
26,1048,2022,26-1048-2022
26,350,2022,26-350-2022
26,872,2022,26-872-2022
26,2472,2022,26-2472-2022
26,1012,2022,26-1012-2022
26,2689,2022,26-2689-2022
26,2597,2022,26-2597-2022
26,2692,2022,26-2692-2022
26,2672,2022,26-2672-2022
26,2711,2022,26-2711-2022
26,2677,2022,26-2677-2022
26,2688,2022,26-2688-2022
26,986,2022,26-986-2022
26,2690,2022,26-2690-2022
26,2691,2022,26-2691-2022
26,694,2022,26-694-2022
26,2473,2022,26-2473-2022
26,880,2022,26-880-2022
26,364,2022,26-364-2022
26,2474,2022,26-2474-2022
26,368,2022,26-368-2022
26,2475,2022,26-2475-2022
26,2698,2022,26-2698-2022
26,2699,2022,26-2699-2022
26,373,2022,26-373-2022
26,2476,2022,26-2476-2022
26,2815,2022,26-2815-2022
26,1095,2022,26-1095-2022
26,705,2022,26-705-2022
26,2656,2022,26-2656-2022
56,2489,2020,56-2489-2020
56,2572,2020,56-2572-2020
56,2732,2020,56-2732-2020
56,2490,2020,56-2490-2020
56,2567,2020,56-2567-2020
56,2569,2020,56-2569-2020
27,377,2022,27-377-2022
27,706,2022,27-706-2022
27,378,2022,27-378-2022
27,379,2022,27-379-2022
27,380,2022,27-380-2022
27,381,2022,27-381-2022
27,382,2022,27-382-2022
27,383,2022,27-383-2022
27,858,2022,27-858-2022
27,707,2022,27-707-2022
27,1109,2022,27-1109-2022
27,710,2022,27-710-2022
27,384,2022,27-384-2022
27,866,2022,27-866-2022
27,2325,2022,27-2325-2022
27,385,2022,27-385-2022
27,711,2022,27-711-2022
27,712,2022,27-712-2022
27,1032,2022,27-1032-2022
27,875,2022,27-875-2022
27,874,2022,27-874-2022
27,718,2022,27-718-2022
27,377,2021,27-377-2021
27,377,2020,27-377-2020
27,377,2019,27-377-2019
27,377,2018,27-377-2018
27,377,2017,27-377-2017
27,377,2016,27-377-2016
27,377,2015,27-377-2015
27,377,2014,27-377-2014
27,377,2013,27-377-2013
27,377,2012,27-377-2012
27,377,2011,27-377-2011
27,377,2010,27-377-2010
27,377,2009,27-377-2009
27,377,2008,27-377-2008
27,706,2021,27-706-2021
27,706,2020,27-706-2020
27,706,2019,27-706-2019
27,706,2018,27-706-2018
27,706,2017,27-706-2017
27,706,2016,27-706-2016
27,706,2015,27-706-2015
27,706,2014,27-706-2014
27,706,2013,27-706-2013
27,706,2012,27-706-2012
27,706,2011,27-706-2011
27,706,2010,27-706-2010
27,706,2009,27-706-2009
27,2244,2010,27-2244-2010
27,2244,2009,27-2244-2009
27,2244,2008,27-2244-2008
27,378,2021,27-378-2021
27,378,2020,27-378-2020
27,378,2019,27-378-2019
27,378,2018,27-378-2018
27,378,2017,27-378-2017
27,378,2016,27-378-2016
27,378,2015,27-378-2015
27,378,2014,27-378-2014
27,378,2013,27-378-2013
27,378,2012,27-378-2012
27,378,2011,27-378-2011
27,378,2010,27-378-2010
27,378,2009,27-378-2009
27,378,2008,27-378-2008
27,379,2021,27-379-2021
27,379,2020,27-379-2020
27,379,2019,27-379-2019
27,379,2018,27-379-2018
27,379,2017,27-379-2017
27,379,2016,27-379-2016
27,379,2015,27-379-2015
27,379,2014,27-379-2014
27,379,2013,27-379-2013
27,379,2012,27-379-2012
27,379,2011,27-379-2011
27,379,2010,27-379-2010
27,379,2009,27-379-2009
27,379,2008,27-379-2008
27,380,2021,27-380-2021
27,380,2020,27-380-2020
27,380,2019,27-380-2019
27,380,2018,27-380-2018
27,380,2017,27-380-2017
27,380,2016,27-380-2016
27,380,2015,27-380-2015
27,380,2014,27-380-2014
27,380,2013,27-380-2013
27,380,2012,27-380-2012
27,380,2011,27-380-2011
